Title,Winner,Award,Year
"Nomadland",Y,Picture,2020
"Judas and the Black Messiah",N,Picture,2020
"Mank",N,Picture,2020
"Minari",N,Picture,2020
"Promising Young Woman",N,Picture,2020
"Sound of Metal",N,Picture,2020
"The Father",N,Picture,2020
"The Trial of the Chicago 7",N,Picture,2020
"Anthony Hopkins",Y,Actor,2020
"Riz Ahmed",N,Actor,2020
"Chadwick Boseman",N,Actor,2020
"Gary Oldman",N,Actor,2020
"Steven Yeun",N,Actor,2020
"Frances McDormand",Y,Actress,2020
"Viola Davis",N,Actress,2020
"Andra Day",N,Actress,2020
"Vanessa Kirby",N,Actress,2020
"Carey Mulligan",N,Actress,2020
"Daniel Kaluuya",Y,Supporting Actor,2020
"Sacha Baron Cohen",N,Supporting Actor,2020
"Leslie Odom Jr.",N,Supporting Actor,2020
"Paul Raci",N,Supporting Actor,2020
"LaKeith Stanfield",N,Supporting Actor,2020
"Youn Yuh-jung",Y,Supporting Actress,2020
"Maria Bakalova",N,Supporting Actress,2020
"Glenn Close",N,Supporting Actress,2020
"Olivia Colman",N,Supporting Actress,2020
"Amanda Seyfried",N,Supporting Actress,2020
"Parasite",Y,Picture,2019
"1917",N,Picture,2019
"Ford v Ferrari",N,Picture,2019
"Jojo Rabbit",N,Picture,2019
"Joker",N,Picture,2019
"Little Women",N,Picture,2019
"Marriage Story",N,Picture,2019
"Once Upon a Time in Hollywood",N,Picture,2019
"The Irishman",N,Picture,2019
"Joaquin Phoenix",Y,Actor,2019
"Leonardo DiCaprio",N,Actor,2019
"Adam Driver",N,Actor,2019
"Antonio Banderas",N,Actor,2019
"Jonathan Pryce",N,Actor,2019
"Renée Zellweger",Y,Actress,2019
"Cynthia Erivo",N,Actress,2019
"Scarlett Johansson",N,Actress,2019
"Saoirse Ronan",N,Actress,2019
"Charlize Theron",N,Actress,2019
"Brad Pitt",Y,Supporting Actor,2019
"Tom Hanks",N,Supporting Actor,2019
"Anthony Hopkins",N,Supporting Actor,2019
"Al Pacino",N,Supporting Actor,2019
"Joe Pesci",N,Supporting Actor,2019
"Laura Dern",Y,Supporting Actress,2019
"Kathy Bates",N,Supporting Actress,2019
"Scarlett Johansson",N,Supporting Actress,2019
"Florence Pugh",N,Supporting Actress,2019
"Margot Robbie",N,Supporting Actress,2019
"Green Book",Y,Picture,2018
"A Star Is Born",N,Picture,2018
"Black Panther",N,Picture,2018
"BlacKkKlansman",N,Picture,2018
"Bohemian Rhapsody",N,Picture,2018
"Roma",N,Picture,2018
"The Favourite",N,Picture,2018
"Vice",N,Picture,2018
"Rami Malek",Y,Actor,2018
"Christian Bale",N,Actor,2018
"Bradley Cooper",N,Actor,2018
"Willem Dafoe",N,Actor,2018
"Viggo Mortensen",N,Actor,2018
"Olivia Colman",Y,Actress,2018
"Yalitza Aparicio",N,Actress,2018
"Glenn Close",N,Actress,2018
"Lady Gaga",N,Actress,2018
"Melissa McCarthy",N,Actress,2018
"Mahershala Ali",Y,Supporting Actor,2018
"Adam Driver",N,Supporting Actor,2018
"Sam Elliott",N,Supporting Actor,2018
"Richard E. Grant",N,Supporting Actor,2018
"Sam Rockwell",N,Supporting Actor,2018
"Regina King",Y,Supporting Actress,2018
"Amy Adams",N,Supporting Actress,2018
"Marina de Tavira",N,Supporting Actress,2018
"Emma Stone",N,Supporting Actress,2018
"Rachel Weisz",N,Supporting Actress,2018
"The Shape of Water",Y,Picture,2017
"Call Me by Your Name",N,Picture,2017
"Darkest Hour",N,Picture,2017
"Dunkirk",N,Picture,2017
"Get Out",N,Picture,2017
"Lady Bird",N,Picture,2017
"Phantom Thread",N,Picture,2017
"The Post",N,Picture,2017
"Three Billboards Outside Ebbing, Missouri",N,Picture,2017
"Gary Oldman",Y,Actor,2017
"Timothée Chalamet",N,Actor,2017
"Daniel Day-Lewis",N,Actor,2017
"Daniel Kaluuya",N,Actor,2017
"Denzel Washington",N,Actor,2017
"Frances McDormand",Y,Actress,2017
"Sally Hawkins",N,Actress,2017
"Margot Robbie",N,Actress,2017
"Saoirse Ronan",N,Actress,2017
"Meryl Streep",N,Actress,2017
"Sam Rockwell",Y,Supporting Actor,2017
"Willem Dafoe",N,Supporting Actor,2017
"Woody Harrelson",N,Supporting Actor,2017
"Richard Jenkins",N,Supporting Actor,2017
"Christopher Plummer",N,Supporting Actor,2017
"Allison Janney",Y,Supporting Actress,2017
"Mary J. Blige",N,Supporting Actress,2017
"Lesley Manville",N,Supporting Actress,2017
"Laurie Metcalf",N,Supporting Actress,2017
"Octavia Spencer",N,Supporting Actress,2017
"Moonlight",Y,Picture,2016
"Arrival",N,Picture,2016
"Fences",N,Picture,2016
"Hacksaw Ridge",N,Picture,2016
"Hell or High Water",N,Picture,2016
"Hidden Figures",N,Picture,2016
"La La Land",N,Picture,2016
"Lion",N,Picture,2016
"Manchester by the Sea",N,Picture,2016
"Casey Affleck",Y,Actor,2016
"Andrew Garfield",N,Actor,2016
"Ryan Gosling",N,Actor,2016
"Viggo Mortensen",N,Actor,2016
"Denzel Washington",N,Actor,2016
"Emma Stone",Y,Actress,2016
"Isabelle Huppert",N,Actress,2016
"Ruth Negga",N,Actress,2016
"Natalie Portman",N,Actress,2016
"Meryl Streep",N,Actress,2016
"Mahershala Ali",Y,Supporting Actor,2016
"Jeff Bridges",N,Supporting Actor,2016
"Lucas Hedges",N,Supporting Actor,2016
"Dev Patel",N,Supporting Actor,2016
"Michael Shannon",N,Supporting Actor,2016
"Viola Davis",Y,Supporting Actress,2016
"Naomie Harris",N,Supporting Actress,2016
"Nicole Kidman",N,Supporting Actress,2016
"Octavia Spencer",N,Supporting Actress,2016
"Michelle Williams",N,Supporting Actress,2016
"Spotlight",Y,Picture,2015
"Bridge of Spies",N,Picture,2015
"Brooklyn",N,Picture,2015
"Mad Max: Fury Road",N,Picture,2015
"Room",N,Picture,2015
"The Big Short",N,Picture,2015
"The Martian",N,Picture,2015
"The Revenant",N,Picture,2015
"Leonardo DiCaprio",Y,Actor,2015
"Bryan Cranston",N,Actor,2015
"Matt Damon",N,Actor,2015
"Michael Fassbender",N,Actor,2015
"Eddie Redmayne",N,Actor,2015
"Brie Larson",Y,Actress,2015
"Cate Blanchett",N,Actress,2015
"Jennifer Lawrence",N,Actress,2015
"Charlotte Rampling",N,Actress,2015
"Saoirse Ronan",N,Actress,2015
"Mark Rylance",Y,Supporting Actor,2015
"Christian Bale",N,Supporting Actor,2015
"Tom Hardy",N,Supporting Actor,2015
"Mark Ruffalo",N,Supporting Actor,2015
"Sylvester Stallone",N,Supporting Actor,2015
"Alicia Vikander",Y,Supporting Actress,2015
"Jennifer Jason Leigh",N,Supporting Actress,2015
"Rooney Mara",N,Supporting Actress,2015
"Rachel McAdams",N,Supporting Actress,2015
"Kate Winslet",N,Supporting Actress,2015
"Birdman",Y,Picture,2014
"American Sniper",N,Picture,2014
"Boyhood",N,Picture,2014
"Selma",N,Picture,2014
"The Grand Budapest Hotel",N,Picture,2014
"The Imitation Game",N,Picture,2014
"The Theory of Everything",N,Picture,2014
"Whiplash",N,Picture,2014
"Eddie Redmayne",Y,Actor,2014
"Benedict Cumberbatch",N,Actor,2014
"Bradley Cooper",N,Actor,2014
"Michael Keaton",N,Actor,2014
"Steve Carell",N,Actor,2014
"Julianne Moore",Y,Actress,2014
"Felicity Jones",N,Actress,2014
"Marion Cotillard",N,Actress,2014
"Reese Witherspoon",N,Actress,2014
"Rosamund Pike",N,Actress,2014
"J. K. Simmons",Y,Supporting Actor,2014
"Edward Norton",N,Supporting Actor,2014
"Ethan Hawke",N,Supporting Actor,2014
"Mark Ruffalo",N,Supporting Actor,2014
"Robert Duvall",N,Supporting Actor,2014
"Patricia Arquette",Y,Supporting Actress,2014
"Emma Stone",N,Supporting Actress,2014
"Keira Knightley",N,Supporting Actress,2014
"Laura Dern",N,Supporting Actress,2014
"Meryl Streep",N,Supporting Actress,2014
"12 Years a Slave",Y,Picture,2013
"American Hustle",N,Picture,2013
"Captain Phillips",N,Picture,2013
"Dallas Buyers Club",N,Picture,2013
"Gravity",N,Picture,2013
"Her",N,Picture,2013
"Nebraska",N,Picture,2013
"Philomena",N,Picture,2013
"The Wolf of Wall Street",N,Picture,2013
"Matthew McConaughey",Y,Actor,2013
"Christian Bale",N,Actor,2013
"Bruce Dern",N,Actor,2013
"Leonardo DiCaprio",N,Actor,2013
"Chiwetel Ejiofor",N,Actor,2013
"Cate Blanchett",Y,Actress,2013
"Amy Adams",N,Actress,2013
"Sandra Bullock",N,Actress,2013
"Judi Dench",N,Actress,2013
"Meryl Streep",N,Actress,2013
"Jared Leto",Y,Supporting Actor,2013
"Barkhad Abdi",N,Supporting Actor,2013
"Bradley Cooper",N,Supporting Actor,2013
"Michael Fassbender",N,Supporting Actor,2013
"Jonah Hill",N,Supporting Actor,2013
"Lupita Nyong'o",Y,Supporting Actress,2013
"Sally Hawkins",N,Supporting Actress,2013
"Jennifer Lawrence",N,Supporting Actress,2013
"Julia Roberts",N,Supporting Actress,2013
"June Squibb",N,Supporting Actress,2013
"Amour",N,Picture,2012
"Argo",Y,Picture,2012
"Beasts of the Southern Wild",N,Picture,2012
"Django Unchained",N,Picture,2012
"Les Mis�rables",N,Picture,2012
"Life of Pi",N,Picture,2012
"Lincoln",N,Picture,2012
"Silver Linings Playbook",N,Picture,2012
"Zero Dark Thirty",N,Picture,2012
"Bradley Cooper",N,Actor,2012
"Daniel Day-Lewis",Y,Actor,2012
"Hugh Jackman",N,Actor,2012
"Joaquin Phoenix",N,Actor,2012
"Denzel Washington",N,Actor,2012
"Jessica Chastain",N,Actress,2012
"Jennifer Lawrence",Y,Actress,2012
"Emmanuelle Riva",N,Actress,2012
"Quvenzhané Wallis",N,Actress,2012
"Naomi Watts",N,Actress,2012
"Alan Arkin",N,Supporting Actor,2012
"Robert De Niro",N,Supporting Actor,2012
"Philip Seymour Hoffman",N,Supporting Actor,2012
"Tommy Lee Jones",N,Supporting Actor,2012
"Christoph Waltz",Y,Supporting Actor,2012
"Amy Adams",N,Supporting Actress,2012
"Sally Field",N,Supporting Actress,2012
"Anne Hathaway",Y,Supporting Actress,2012
"Helen Hunt",N,Supporting Actress,2012
"Jacki Weaver",N,Supporting Actress,2012
"The Artist",Y,Picture,2011
"Extremely Loud and Incredibly Close",N,Picture,2011
"Hugo",N,Picture,2011
"Midnight in Paris",N,Picture,2011
"Moneyball",N,Picture,2011
"The Descendants",N,Picture,2011
"The Help",N,Picture,2011
"The Tree of Life",N,Picture,2011
"War Horse",N,Picture,2011
"Jean Dujardin",Y,Actor,2011
"Demián Bichir",N,Actor,2011
"George Clooney",N,Actor,2011
"Gary Oldman",N,Actor,2011
"Brad Pitt",N,Actor,2011
"Meryl Streep",Y,Actress,2011
"Glenn Close",N,Actress,2011
"Viola Davis",N,Actress,2011
"Rooney Mara",N,Actress,2011
"Michelle Williams",N,Actress,2011
"Christopher Plummer",Y,Supporting Actor,2011
"Kenneth Branagh",N,Supporting Actor,2011
"Jonah Hill",N,Supporting Actor,2011
"Nick Nolte",N,Supporting Actor,2011
"Max von Sydow",N,Supporting Actor,2011
"Octavia Spencer",Y,Supporting Actress,2011
"Bérénice Bejo",N,Supporting Actress,2011
"Jessica Chastain",N,Supporting Actress,2011
"Melissa McCarthy",N,Supporting Actress,2011
"Janet McTeer",N,Supporting Actress,2011
"The King's Speech",Y,Picture,2010
"127 Hours",N,Picture,2010
"Black Swan",N,Picture,2010
"Inception",N,Picture,2010
"The Fighter",N,Picture,2010
"The Kids Are All Right",N,Picture,2010
"The Social Network",N,Picture,2010
"Toy Story 3",N,Picture,2010
"True Grit",N,Picture,2010
"Winter's Bone",N,Picture,2010
"Colin Firth",Y,Actor,2010
"Javier Bardem",N,Actor,2010
"Jeff Bridges",N,Actor,2010
"Jesse Eisenberg",N,Actor,2010
"James Franco",N,Actor,2010
"Natalie Portman",Y,Actress,2010
"Annette Bening",N,Actress,2010
"Nicole Kidman",N,Actress,2010
"Jennifer Lawrence",N,Actress,2010
"Michelle Williams",N,Actress,2010
"Christian Bale",Y,Supporting Actor,2010
"John Hawkes",N,Supporting Actor,2010
"Jeremy Renner",N,Supporting Actor,2010
"Mark Ruffalo",N,Supporting Actor,2010
"Geoffrey Rush",N,Supporting Actor,2010
"Melissa Leo",Y,Supporting Actress,2010
"Amy Adams",N,Supporting Actress,2010
"Helena Bonham Carter",N,Supporting Actress,2010
"Hailee Steinfeld",N,Supporting Actress,2010
"Jacki Weaver",N,Supporting Actress,2010
"The Hurt Locker",Y,Picture,2009
"A Serious Man",N,Picture,2009
"An Education",N,Picture,2009
"Avatar",N,Picture,2009
"District 9",N,Picture,2009
"Inglourious Basterds",N,Picture,2009
"Precious",N,Picture,2009
"The Blind Side",N,Picture,2009
"Up",N,Picture,2009
"Up in the Air",N,Picture,2009
"Jeff Bridges",Y,Actor,2009
"George Clooney",N,Actor,2009
"Colin Firth",N,Actor,2009
"Morgan Freeman",N,Actor,2009
"Jeremy Renner",N,Actor,2009
"Sandra Bullock",Y,Actress,2009
"Helen Mirren",N,Actress,2009
"Carey Mulligan",N,Actress,2009
"Gabourey Sidibe",N,Actress,2009
"Meryl Streep",N,Actress,2009
"Christoph Waltz",Y,Supporting Actor,2009
"Matt Damon",N,Supporting Actor,2009
"Woody Harrelson",N,Supporting Actor,2009
"Christopher Plummer",N,Supporting Actor,2009
"Stanley Tucci",N,Supporting Actor,2009
"Mo'Nique",Y,Supporting Actress,2009
"Penélope Cruz",N,Supporting Actress,2009
"Vera Farmiga",N,Supporting Actress,2009
"Maggie Gyllenhaal",N,Supporting Actress,2009
"Anna Kendrick",N,Supporting Actress,2009
"Slumdog Millionaire",Y,Picture,2008
"Frost/Nixon",N,Picture,2008
"Milk",N,Picture,2008
"The Curious Case of Benjamin Button",N,Picture,2008
"The Reader",N,Picture,2008
"Sean Penn",Y,Actor,2008
"Richard Jenkins",N,Actor,2008
"Frank Langella",N,Actor,2008
"Brad Pitt",N,Actor,2008
"Mickey Rourke",N,Actor,2008
"Kate Winslet",Y,Actress,2008
"Anne Hathaway",N,Actress,2008
"Angelina Jolie",N,Actress,2008
"Melissa Leo",N,Actress,2008
"Meryl Streep",N,Actress,2008
"Heath Ledger",Y,Supporting Actor,2008
"Josh Brolin",N,Supporting Actor,2008
"Robert Downey Jr.",N,Supporting Actor,2008
"Philip Seymour Hoffman",N,Supporting Actor,2008
"Michael Shannon",N,Supporting Actor,2008
"Penélope Cruz",Y,Supporting Actress,2008
"Amy Adams",N,Supporting Actress,2008
"Viola Davis",N,Supporting Actress,2008
"Taraji P. Henson",N,Supporting Actress,2008
"Marisa Tomei",N,Supporting Actress,2008
"No Country for Old Men",Y,Picture,2007
"Atonement",N,Picture,2007
"Juno",N,Picture,2007
"Michael Clayton",N,Picture,2007
"There Will Be Blood",N,Picture,2007
"Daniel Day-Lewis",Y,Actor,2007
"George Clooney",N,Actor,2007
"Johnny Depp",N,Actor,2007
"Tommy Lee Jones",N,Actor,2007
"Viggo Mortensen",N,Actor,2007
"Marion Cotillard",Y,Actress,2007
"Cate Blanchett",N,Actress,2007
"Julie Christie",N,Actress,2007
"Laura Linney",N,Actress,2007
"Elliot Page",N,Actress,2007
"Javier Bardem",Y,Supporting Actor,2007
"Casey Affleck",N,Supporting Actor,2007
"Philip Seymour Hoffman",N,Supporting Actor,2007
"Hal Holbrook",N,Supporting Actor,2007
"Tom Wilkinson",N,Supporting Actor,2007
"Tilda Swinton",Y,Supporting Actress,2007
"Cate Blanchett",N,Supporting Actress,2007
"Ruby Dee",N,Supporting Actress,2007
"Saoirse Ronan",N,Supporting Actress,2007
"Amy Ryan",N,Supporting Actress,2007
"The Departed",Y,Picture,2006
"Babel",N,Picture,2006
"Letters from Iwo Jima",N,Picture,2006
"Little Miss Sunshine",N,Picture,2006
"The Queen",N,Picture,2006
"Forest Whitaker",Y,Actor,2006
"Leonardo DiCaprio",N,Actor,2006
"Ryan Gosling",N,Actor,2006
"Peter O'Toole",N,Actor,2006
"Will Smith",N,Actor,2006
"Helen Mirren",Y,Actress,2006
"Penélope Cruz",N,Actress,2006
"Judi Dench",N,Actress,2006
"Meryl Streep",N,Actress,2006
"Kate Winslet",N,Actress,2006
"Alan Arkin",Y,Supporting Actor,2006
"Jackie Earle Haley",N,Supporting Actor,2006
"Djimon Hounsou",N,Supporting Actor,2006
"Eddie Murphy",N,Supporting Actor,2006
"Mark Wahlberg",N,Supporting Actor,2006
"Jennifer Hudson",Y,Supporting Actress,2006
"Adriana Barraza",N,Supporting Actress,2006
"Cate Blanchett",N,Supporting Actress,2006
"Abigail Breslin",N,Supporting Actress,2006
"Rinko Kikuchi",N,Supporting Actress,2006
"Crash",Y,Picture,2005
"Brokeback Mountain",N,Picture,2005
"Capote",N,Picture,2005
"Good Night, and Good Luck",N,Picture,2005
"Munich",N,Picture,2005
"Philip Seymour Hoffman",Y,Actor,2005
"Terrence Howard",N,Actor,2005
"Heath Ledger",N,Actor,2005
"Joaquin Phoenix",N,Actor,2005
"David Strathairn",N,Actor,2005
"Reese Witherspoon",Y,Actress,2005
"Judi Dench",N,Actress,2005
"Felicity Huffman",N,Actress,2005
"Keira Knightley",N,Actress,2005
"Charlize Theron",N,Actress,2005
"George Clooney",Y,Supporting Actor,2005
"Matt Dillon",N,Supporting Actor,2005
"Paul Giamatti",N,Supporting Actor,2005
"Jake Gyllenhaal",N,Supporting Actor,2005
"William Hurt",N,Supporting Actor,2005
"Rachel Weisz",Y,Supporting Actress,2005
"Amy Adams",N,Supporting Actress,2005
"Catherine Keener",N,Supporting Actress,2005
"Frances McDormand",N,Supporting Actress,2005
"Michelle Williams",N,Supporting Actress,2005
"Million Dollar Baby",Y,Picture,2004
"Finding Neverland",N,Picture,2004
"Ray",N,Picture,2004
"Sideways",N,Picture,2004
"The Aviator",N,Picture,2004
"Jamie Foxx",Y,Actor,2004
"Don Cheadle",N,Actor,2004
"Johnny Depp",N,Actor,2004
"Leonardo DiCaprio",N,Actor,2004
"Clint Eastwood",N,Actor,2004
"Hilary Swank",Y,Actress,2004
"Annette Bening",N,Actress,2004
"Catalina Sandino Moreno",N,Actress,2004
"Imelda Staunton",N,Actress,2004
"Kate Winslet",N,Actress,2004
"Morgan Freeman",Y,Supporting Actor,2004
"Alan Alda",N,Supporting Actor,2004
"Thomas Haden Church",N,Supporting Actor,2004
"Jamie Foxx",N,Supporting Actor,2004
"Clive Owen",N,Supporting Actor,2004
"Cate Blanchett",Y,Supporting Actress,2004
"Laura Linney",N,Supporting Actress,2004
"Virginia Madsen",N,Supporting Actress,2004
"Sophie Okonedo",N,Supporting Actress,2004
"Natalie Portman",N,Supporting Actress,2004
"The Lord of the Rings: The Return of the King",Y,Picture,2003
"Lost in Translation",N,Picture,2003
"Master and Commander: The Far Side of the World",N,Picture,2003
"Mystic River",N,Picture,2003
"Seabiscuit",N,Picture,2003
"Sean Penn",Y,Actor,2003
"Johnny Depp",N,Actor,2003
"Ben Kingsley",N,Actor,2003
"Jude Law",N,Actor,2003
"Bill Murray",N,Actor,2003
"Charlize Theron",Y,Actress,2003
"Keisha Castle-Hughes",N,Actress,2003
"Diane Keaton",N,Actress,2003
"Samantha Morton",N,Actress,2003
"Naomi Watts",N,Actress,2003
"Tim Robbins",Y,Supporting Actor,2003
"Alec Baldwin",N,Supporting Actor,2003
"Benicio del Toro",N,Supporting Actor,2003
"Djimon Hounsou",N,Supporting Actor,2003
"Ken Watanabe",N,Supporting Actor,2003
"Renée Zellweger",Y,Supporting Actress,2003
"Shohreh Aghdashloo",N,Supporting Actress,2003
"Patricia Clarkson",N,Supporting Actress,2003
"Marcia Gay Harden",N,Supporting Actress,2003
"Holly Hunter",N,Supporting Actress,2003
"Chicago",Y,Picture,2002
"Gangs of New York",N,Picture,2002
"The Hours",N,Picture,2002
"The Lord of the Rings: The Two Towers",N,Picture,2002
"The Pianist",N,Picture,2002
"Adrien Brody",Y,Actor,2002
"Nicolas Cage",N,Actor,2002
"Michael Caine",N,Actor,2002
"Daniel Day-Lewis",N,Actor,2002
"Jack Nicholson",N,Actor,2002
"Nicole Kidman",Y,Actress,2002
"Salma Hayek",N,Actress,2002
"Diane Lane",N,Actress,2002
"Julianne Moore",N,Actress,2002
"Renée Zellweger",N,Actress,2002
"Chris Cooper",Y,Supporting Actor,2002
"Ed Harris",N,Supporting Actor,2002
"Paul Newman",N,Supporting Actor,2002
"John C. Reilly",N,Supporting Actor,2002
"Christopher Walken",N,Supporting Actor,2002
"Catherine Zeta-Jones",Y,Supporting Actress,2002
"Kathy Bates",N,Supporting Actress,2002
"Queen Latifah",N,Supporting Actress,2002
"Julianne Moore",N,Supporting Actress,2002
"Meryl Streep",N,Supporting Actress,2002
"A Beautiful Mind",Y,Picture,2001
"Gosford Park",N,Picture,2001
"In the Bedroom",N,Picture,2001
"Moulin Rouge!",N,Picture,2001
"The Lord of the Rings: The Fellowship of the Ring",N,Picture,2001
"Denzel Washington",Y,Actor,2001
"Russell Crowe",N,Actor,2001
"Sean Penn",N,Actor,2001
"Will Smith",N,Actor,2001
"Tom Wilkinson",N,Actor,2001
"Halle Berry",Y,Actress,2001
"Judi Dench",N,Actress,2001
"Nicole Kidman",N,Actress,2001
"Sissy Spacek",N,Actress,2001
"Renée Zellweger",N,Actress,2001
"Jim Broadbent",Y,Supporting Actor,2001
"Ethan Hawke",N,Supporting Actor,2001
"Ben Kingsley",N,Supporting Actor,2001
"Ian McKellen",N,Supporting Actor,2001
"Jon Voight",N,Supporting Actor,2001
"Jennifer Connelly",Y,Supporting Actress,2001
"Helen Mirren",N,Supporting Actress,2001
"Maggie Smith",N,Supporting Actress,2001
"Marisa Tomei",N,Supporting Actress,2001
"Kate Winslet",N,Supporting Actress,2001
"Gladiator",Y,Picture,2000
"Chocolat",N,Picture,2000
"Crouching Tiger, Hidden Dragon",N,Picture,2000
"Erin Brockovich",N,Picture,2000
"Traffic",N,Picture,2000
"Russell Crowe",Y,Actor,2000
"Javier Bardem",N,Actor,2000
"Tom Hanks",N,Actor,2000
"Ed Harris",N,Actor,2000
"Geoffrey Rush",N,Actor,2000
"Julia Roberts",Y,Actress,2000
"Joan Allen",N,Actress,2000
"Juliette Binoche",N,Actress,2000
"Ellen Burstyn",N,Actress,2000
"Laura Linney",N,Actress,2000
"Benicio del Toro",Y,Supporting Actor,2000
"Jeff Bridges",N,Supporting Actor,2000
"Willem Dafoe",N,Supporting Actor,2000
"Albert Finney",N,Supporting Actor,2000
"Joaquin Phoenix",N,Supporting Actor,2000
"Marcia Gay Harden",Y,Supporting Actress,2000
"Judi Dench",N,Supporting Actress,2000
"Kate Hudson",N,Supporting Actress,2000
"Frances McDormand",N,Supporting Actress,2000
"Julie Walters",N,Supporting Actress,2000
"American Beauty",Y,Picture,1999
"The Cider House Rules",N,Picture,1999
"The Green Mile",N,Picture,1999
"The Insider",N,Picture,1999
"The Sixth Sense",N,Picture,1999
"Kevin Spacey",Y,Actor,1999
"Russell Crowe",N,Actor,1999
"Richard Farnsworth",N,Actor,1999
"Sean Penn",N,Actor,1999
"Denzel Washington",N,Actor,1999
"Hilary Swank",Y,Actress,1999
"Annette Bening",N,Actress,1999
"Janet McTeer",N,Actress,1999
"Julianne Moore",N,Actress,1999
"Meryl Streep",N,Actress,1999
"Michael Caine",Y,Supporting Actor,1999
