Title,Winner,Award,Year
"Gary Cooper",Y,Actor,1952
"Marlon Brando",N,Actor,1952
"Kirk Douglas",N,Actor,1952
"José Ferrer",N,Actor,1952
"Alec Guinness",N,Actor,1952
"Shirley Booth",Y,Actress,1952
"Joan Crawford",N,Actress,1952
"Bette Davis",N,Actress,1952
"Julie Harris",N,Actress,1952
"Susan Hayward",N,Actress,1952
"Anthony Quinn",Y,Supporting Actor,1952
"Richard Burton",N,Supporting Actor,1952
"Arthur Hunnicutt",N,Supporting Actor,1952
"Victor McLaglen",N,Supporting Actor,1952
"Jack Palance",N,Supporting Actor,1952
"Gloria Grahame",Y,Supporting Actress,1952
"Jean Hagen",N,Supporting Actress,1952
"Colette Marchand",N,Supporting Actress,1952
"Terry Moore",N,Supporting Actress,1952
"Thelma Ritter",N,Supporting Actress,1952
"An American in Paris",Y,Picture,1951
"A Place in the Sun",N,Picture,1951
"A Streetcar Named Desire",N,Picture,1951
"Decision Before Dawn",N,Picture,1951
"Quo Vadis",N,Picture,1951
"Humphrey Bogart",Y,Actor,1951
"Marlon Brando",N,Actor,1951
"Montgomery Clift",N,Actor,1951
"Arthur Kennedy",N,Actor,1951
"Fredric March",N,Actor,1951
"Vivien Leigh",Y,Actress,1951
"Katharine Hepburn",N,Actress,1951
"Eleanor Parker",N,Actress,1951
"Shelley Winters",N,Actress,1951
"Jane Wyman",N,Actress,1951
"Karl Malden",Y,Supporting Actor,1951
"Leo Genn",N,Supporting Actor,1951
"Kevin McCarthy",N,Supporting Actor,1951
"Peter Ustinov",N,Supporting Actor,1951
"Gig Young",N,Supporting Actor,1951
"Kim Hunter",Y,Supporting Actress,1951
"Joan Blondell",N,Supporting Actress,1951
"Mildred Dunnock",N,Supporting Actress,1951
"Lee Grant",N,Supporting Actress,1951
"Thelma Ritter",N,Supporting Actress,1951
"All About Eve",Y,Picture,1950
"Born Yesterday",N,Picture,1950
"Father of the Bride",N,Picture,1950
"King Solomon's Mines",N,Picture,1950
"Sunset Boulevard",N,Picture,1950
"José Ferrer",Y,Actor,1950
"Louis Calhern",N,Actor,1950
"William Holden",N,Actor,1950
"James Stewart",N,Actor,1950
"Spencer Tracy",N,Actor,1950
"Judy Holliday",Y,Actress,1950
"Anne Baxter",N,Actress,1950
"Bette Davis",N,Actress,1950
"Eleanor Parker",N,Actress,1950
"Gloria Swanson",N,Actress,1950
"George Sanders",Y,Supporting Actor,1950
"Jeff Chandler",N,Supporting Actor,1950
"Edmund Gwenn",N,Supporting Actor,1950
"Sam Jaffe",N,Supporting Actor,1950
"Erich von Stroheim",N,Supporting Actor,1950
"Josephine Hull",Y,Supporting Actress,1950
"Hope Emerson",N,Supporting Actress,1950
"Celeste Holm",N,Supporting Actress,1950
"Nancy Olson",N,Supporting Actress,1950
"Thelma Ritter",N,Supporting Actress,1950
"All the King's Men",Y,Picture,1949
"A Letter to Three Wives",N,Picture,1949
"Battleground",N,Picture,1949
"The Heiress",N,Picture,1949
"Twelve O'Clock High",N,Picture,1949
"Broderick Crawford",Y,Actor,1949
"Kirk Douglas",N,Actor,1949
"Gregory Peck",N,Actor,1949
"Richard Todd",N,Actor,1949
"John Wayne",N,Actor,1949
"Olivia de Havilland",Y,Actress,1949
"Jeanne Crain",N,Actress,1949
"Susan Hayward",N,Actress,1949
"Deborah Kerr",N,Actress,1949
"Loretta Young",N,Actress,1949
"Dean Jagger",Y,Supporting Actor,1949
"John Ireland",N,Supporting Actor,1949
"Arthur Kennedy",N,Supporting Actor,1949
"Ralph Richardson",N,Supporting Actor,1949
"James Whitmore",N,Supporting Actor,1949
"Mercedes McCambridge",Y,Supporting Actress,1949
"Ethel Barrymore",N,Supporting Actress,1949
"Celeste Holm",N,Supporting Actress,1949
"Elsa Lanchester",N,Supporting Actress,1949
"Ethel Waters",N,Supporting Actress,1949
"Hamlet",Y,Picture,1948
"Johnny Belinda",N,Picture,1948
"The Red Shoes",N,Picture,1948
"The Snake Pit",N,Picture,1948
"The Treasure of the Sierra Madre",N,Picture,1948
"Laurence Olivier",Y,Actor,1948
"Lew Ayres",N,Actor,1948
"Montgomery Clift",N,Actor,1948
"Dan Dailey",N,Actor,1948
"Clifton Webb",N,Actor,1948
"Jane Wyman",Y,Actress,1948
"Ingrid Bergman",N,Actress,1948
"Olivia de Havilland",N,Actress,1948
"Irene Dunne",N,Actress,1948
"Barbara Stanwyck",N,Actress,1948
"Walter Huston",Y,Supporting Actor,1948
"Charles Bickford",N,Supporting Actor,1948
"José Ferrer",N,Supporting Actor,1948
"Oskar Homolka",N,Supporting Actor,1948
"Cecil Kellaway",N,Supporting Actor,1948
"Claire Trevor",Y,Supporting Actress,1948
"Ellen Corby",N,Supporting Actress,1948
"Barbara Bel Geddes",N,Supporting Actress,1948
"Agnes Moorehead",N,Supporting Actress,1948
"Jean Simmons",N,Supporting Actress,1948
"Gentleman's Agreement",Y,Picture,1947
"Crossfire",N,Picture,1947
"Great Expectations",N,Picture,1947
"Miracle on 34th Street",N,Picture,1947
"The Bishop's Wife",N,Picture,1947
"Ronald Colman",Y,Actor,1947
"John Garfield",N,Actor,1947
"Gregory Peck",N,Actor,1947
"William Powell",N,Actor,1947
"Michael Redgrave",N,Actor,1947
"Loretta Young",Y,Actress,1947
"Joan Crawford",N,Actress,1947
"Susan Hayward",N,Actress,1947
"Dorothy McGuire",N,Actress,1947
"Rosalind Russell",N,Actress,1947
"Edmund Gwenn",Y,Supporting Actor,1947
"Charles Bickford",N,Supporting Actor,1947
"Thomas Gomez",N,Supporting Actor,1947
"Robert Ryan",N,Supporting Actor,1947
"Richard Widmark",N,Supporting Actor,1947
"Celeste Holm",Y,Supporting Actress,1947
"Ethel Barrymore",N,Supporting Actress,1947
"Gloria Grahame",N,Supporting Actress,1947
"Marjorie Main",N,Supporting Actress,1947
"Anne Revere",N,Supporting Actress,1947
"The Best Years of Our Lives",Y,Picture,1946
"Henry V",N,Picture,1946
"It's a Wonderful Life",N,Picture,1946
"The Razor's Edge",N,Picture,1946
"The Yearling",N,Picture,1946
"Fredric March",Y,Actor,1946
"Laurence Olivier",N,Actor,1946
"Larry Parks",N,Actor,1946
"Gregory Peck",N,Actor,1946
"James Stewart",N,Actor,1946
"Olivia de Havilland",Y,Actress,1946
"Celia Johnson",N,Actress,1946
"Jennifer Jones",N,Actress,1946
"Rosalind Russell",N,Actress,1946
"Jane Wyman",N,Actress,1946
"Harold Russell",Y,Supporting Actor,1946
"Charles Coburn",N,Supporting Actor,1946
"William Demarest",N,Supporting Actor,1946
"Claude Rains",N,Supporting Actor,1946
"Clifton Webb",N,Supporting Actor,1946
"Anne Baxter",Y,Supporting Actress,1946
"Ethel Barrymore",N,Supporting Actress,1946
"Lillian Gish",N,Supporting Actress,1946
"Flora Robson",N,Supporting Actress,1946
"Gale Sondergaard",N,Supporting Actress,1946
"The Lost Weekend",Y,Picture,1945
"Anchors Aweigh",N,Picture,1945
"Mildred Pierce",N,Picture,1945
"Spellbound",N,Picture,1945
"The Bells of St. Mary's",N,Picture,1945
"Ray Milland",Y,Actor,1945
"Bing Crosby",N,Actor,1945
"Gene Kelly",N,Actor,1945
"Gregory Peck",N,Actor,1945
"Cornel Wilde",N,Actor,1945
"Joan Crawford",Y,Actress,1945
"Ingrid Bergman",N,Actress,1945
"Greer Garson",N,Actress,1945
"Jennifer Jones",N,Actress,1945
"Gene Tierney",N,Actress,1945
"James Dunn",Y,Supporting Actor,1945
"Michael Chekhov",N,Supporting Actor,1945
"John Dall",N,Supporting Actor,1945
"Robert Mitchum",N,Supporting Actor,1945
"J. Carrol Naish",N,Supporting Actor,1945
"Anne Revere",Y,Supporting Actress,1945
"Eve Arden",N,Supporting Actress,1945
"Ann Blyth",N,Supporting Actress,1945
"Angela Lansbury",N,Supporting Actress,1945
"Joan Lorring",N,Supporting Actress,1945
"Going My Way",Y,Picture,1944
"Double Indemnity",N,Picture,1944
"Gaslight",N,Picture,1944
"Since You Went Away",N,Picture,1944
"Wilson",N,Picture,1944
"Bing Crosby",Y,Actor,1944
"Charles Boyer",N,Actor,1944
"Barry Fitzgerald",N,Actor,1944
"Cary Grant",N,Actor,1944
"Alexander Knox",N,Actor,1944
"Ingrid Bergman",Y,Actress,1944
"Claudette Colbert",N,Actress,1944
"Bette Davis",N,Actress,1944
"Greer Garson",N,Actress,1944
"Barbara Stanwyck",N,Actress,1944
"Barry Fitzgerald",Y,Supporting Actor,1944
"Hume Cronyn",N,Supporting Actor,1944
"Claude Rains",N,Supporting Actor,1944
"Clifton Webb",N,Supporting Actor,1944
"Monty Woolley",N,Supporting Actor,1944
"Ethel Barrymore",Y,Supporting Actress,1944
"Jennifer Jones",N,Supporting Actress,1944
"Angela Lansbury",N,Supporting Actress,1944
"Aline MacMahon",N,Supporting Actress,1944
"Agnes Moorehead",N,Supporting Actress,1944
"Casablanca",Y,Picture,1943
"For Whom the Bell Tolls",N,Picture,1943
"Heaven Can Wait",N,Picture,1943
"In Which We Serve",N,Picture,1943
"Madame Curie",N,Picture,1943
"The Human Comedy",N,Picture,1943
"The More the Merrier",N,Picture,1943
"The Ox-Bow Incident",N,Picture,1943
"The Song of Bernadette",N,Picture,1943
"Watch on the Rhine",N,Picture,1943
"Paul Lukas",Y,Actor,1943
"Humphrey Bogart",N,Actor,1943
"Gary Cooper",N,Actor,1943
"Walter Pidgeon",N,Actor,1943
"Mickey Rooney",N,Actor,1943
"Jennifer Jones",Y,Actress,1943
"Jean Arthur",N,Actress,1943
"Ingrid Bergman",N,Actress,1943
"Joan Fontaine",N,Actress,1943
"Greer Garson",N,Actress,1943
"Charles Coburn",Y,Supporting Actor,1943
"Charles Bickford",N,Supporting Actor,1943
"J. Carrol Naish",N,Supporting Actor,1943
"Claude Rains",N,Supporting Actor,1943
"Akim Tamiroff",N,Supporting Actor,1943
"Katina Paxinou",Y,Supporting Actress,1943
"Gladys Cooper",N,Supporting Actress,1943
"Paulette Goddard",N,Supporting Actress,1943
"Anne Revere",N,Supporting Actress,1943
"Lucile Watson",N,Supporting Actress,1943
"Mrs. Miniver",Y,Picture,1942
"49th Parallel",N,Picture,1942
"Kings Row",N,Picture,1942
"Random Harvest",N,Picture,1942
"The Magnificent Ambersons",N,Picture,1942
"The Pied Piper",N,Picture,1942
"The Pride of the Yankees",N,Picture,1942
"The Talk of the Town",N,Picture,1942
"Wake Island",N,Picture,1942
"Yankee Doodle Dandy",N,Picture,1942
"James Cagney",Y,Actor,1942
"Ronald Colman",N,Actor,1942
"Gary Cooper",N,Actor,1942
"Walter Pidgeon",N,Actor,1942
"Monty Woolley",N,Actor,1942
"Greer Garson",Y,Actress,1942
"Bette Davis",N,Actress,1942
"Katharine Hepburn",N,Actress,1942
"Rosalind Russell",N,Actress,1942
"Teresa Wright",N,Actress,1942
"Van Heflin",Y,Supporting Actor,1942
"William Bendix",N,Supporting Actor,1942
"Walter Huston",N,Supporting Actor,1942
"Frank Morgan",N,Supporting Actor,1942
"Henry Travers",N,Supporting Actor,1942
"Teresa Wright",Y,Supporting Actress,1942
"Gladys Cooper",N,Supporting Actress,1942
"Agnes Moorehead",N,Supporting Actress,1942
"Susan Peters",N,Supporting Actress,1942
"May Whitty",N,Supporting Actress,1942
"How Green Was My Valley",Y,Picture,1941
"Blossoms in the Dust",N,Picture,1941
"Citizen Kane",N,Picture,1941
"Here Comes Mr. Jordan",N,Picture,1941
"Hold Back the Dawn",N,Picture,1941
"One Foot in Heaven",N,Picture,1941
"Sergeant York",N,Picture,1941
"Suspicion",N,Picture,1941
"The Little Foxes",N,Picture,1941
"The Maltese Falcon",N,Picture,1941
"Gary Cooper",Y,Actor,1941
"Cary Grant",N,Actor,1941
"Walter Huston",N,Actor,1941
"Robert Montgomery",N,Actor,1941
"Orson Welles",N,Actor,1941
"Joan Fontaine",Y,Actress,1941
"Bette Davis",N,Actress,1941
"Olivia de Havilland",N,Actress,1941
"Greer Garson",N,Actress,1941
"Barbara Stanwyck",N,Actress,1941
"Donald Crisp",Y,Supporting Actor,1941
"Walter Brennan",N,Supporting Actor,1941
"Charles Coburn",N,Supporting Actor,1941
"James Gleason",N,Supporting Actor,1941
"Sydney Greenstreet",N,Supporting Actor,1941
"Mary Astor",Y,Supporting Actress,1941
"Sara Allgood",N,Supporting Actress,1941
"Patricia Collinge",N,Supporting Actress,1941
"Teresa Wright",N,Supporting Actress,1941
"Margaret Wycherly",N,Supporting Actress,1941
"Rebecca",Y,Picture,1940
"All This, and Heaven Too",N,Picture,1940
"Foreign Correspondent",N,Picture,1940
"Kitty Foyle",N,Picture,1940
"Our Town",N,Picture,1940
"The Grapes of Wrath",N,Picture,1940
"The Great Dictator",N,Picture,1940
"The Letter",N,Picture,1940
"The Long Voyage Home",N,Picture,1940
"The Philadelphia Story",N,Picture,1940
"James Stewart",Y,Actor,1940
"Charlie Chaplin",N,Actor,1940
"Henry Fonda",N,Actor,1940
"Raymond Massey",N,Actor,1940
"Laurence Olivier",N,Actor,1940
"Ginger Rogers",Y,Actress,1940
"Bette Davis",N,Actress,1940
"Joan Fontaine",N,Actress,1940
"Katharine Hepburn",N,Actress,1940
"Martha Scott",N,Actress,1940
"Walter Brennan",Y,Supporting Actor,1940
"Albert Bassermann",N,Supporting Actor,1940
"William Gargan",N,Supporting Actor,1940
"Jack Oakie",N,Supporting Actor,1940
"James Stephenson",N,Supporting Actor,1940
"Jane Darwell",Y,Supporting Actress,1940
"Judith Anderson",N,Supporting Actress,1940
"Ruth Hussey",N,Supporting Actress,1940
"Barbara O'Neil",N,Supporting Actress,1940
"Marjorie Rambeau",N,Supporting Actress,1940
"Gone with the Wind",Y,Picture,1939
"Dark Victory",N,Picture,1939
"Goodbye, Mr. Chips",N,Picture,1939
"Love Affair",N,Picture,1939
"Mr. Smith Goes to Washington",N,Picture,1939
"Ninotchka",N,Picture,1939
"Of Mice and Men",N,Picture,1939
"Stagecoach",N,Picture,1939
"The Wizard of Oz",N,Picture,1939
"Wuthering Heights",N,Picture,1939
"Robert Donat",Y,Actor,1939
"Clark Gable",N,Actor,1939
"Laurence Olivier",N,Actor,1939
"Mickey Rooney",N,Actor,1939
"James Stewart",N,Actor,1939
"Vivien Leigh",Y,Actress,1939
"Bette Davis",N,Actress,1939
"Irene Dunne",N,Actress,1939
"Greta Garbo",N,Actress,1939
"Greer Garson",N,Actress,1939
"Thomas Mitchell",Y,Supporting Actor,1939
"Brian Aherne",N,Supporting Actor,1939
"Harry Carey",N,Supporting Actor,1939
"Brian Donlevy",N,Supporting Actor,1939
"Claude Rains",N,Supporting Actor,1939
"Hattie McDaniel",Y,Supporting Actress,1939
"Olivia de Havilland",N,Supporting Actress,1939
"Geraldine Fitzgerald",N,Supporting Actress,1939
"Edna May Oliver",N,Supporting Actress,1939
"Maria Ouspenskaya",N,Supporting Actress,1939
"You Can't Take It With You",Y,Picture,1938
"Alexander's Ragtime Band",N,Picture,1938
"Boys Town",N,Picture,1938
"Four Daughters",N,Picture,1938
"Grand Illusion",N,Picture,1938
"Jezebel",N,Picture,1938
"Pygmalion",N,Picture,1938
"Test Pilot",N,Picture,1938
"The Adventures of Robin Hood",N,Picture,1938
"The Citadel",N,Picture,1938
"Spencer Tracy",Y,Actor,1938
"Charles Boyer",N,Actor,1938
"James Cagney",N,Actor,1938
"Robert Donat",N,Actor,1938
"Leslie Howard",N,Actor,1938
"Bette Davis",Y,Actress,1938
"Fay Bainter",N,Actress,1938
"Wendy Hiller",N,Actress,1938
"Norma Shearer",N,Actress,1938
"Margaret Sullavan",N,Actress,1938
"Walter Brennan",Y,Supporting Actor,1938
"John Garfield",N,Supporting Actor,1938
"Gene Lockhart",N,Supporting Actor,1938
"Robert Morley",N,Supporting Actor,1938
"Basil Rathbone",N,Supporting Actor,1938
"Fay Bainter",Y,Supporting Actress,1938
"Beulah Bondi",N,Supporting Actress,1938
"Billie Burke",N,Supporting Actress,1938
"Spring Byington",N,Supporting Actress,1938
"Miliza Korjus",N,Supporting Actress,1938
"The Life of Emile Zola",Y,Picture,1937
"A Star Is Born",N,Picture,1937
"Captains Courageous",N,Picture,1937
"Dead End",N,Picture,1937
"In Old Chicago",N,Picture,1937
"Lost Horizon",N,Picture,1937
"One Hundred Men and a Girl",N,Picture,1937
"Stage Door",N,Picture,1937
"The Awful Truth",N,Picture,1937
"The Good Earth",N,Picture,1937
"Spencer Tracy",Y,Actor,1937
"Charles Boyer",N,Actor,1937
"Fredric March",N,Actor,1937
"Robert Montgomery",N,Actor,1937
"Paul Muni",N,Actor,1937
"Luise Rainer",Y,Actress,1937
"Irene Dunne",N,Actress,1937
"Greta Garbo",N,Actress,1937
"Janet Gaynor",N,Actress,1937
"Barbara Stanwyck",N,Actress,1937
"Joseph Schildkraut",Y,Supporting Actor,1937
"Ralph Bellamy",N,Supporting Actor,1937
"Thomas Mitchell",N,Supporting Actor,1937
"H. B. Warner",N,Supporting Actor,1937
"Roland Young",N,Supporting Actor,1937
"Alice Brady",Y,Supporting Actress,1937
"Andrea Leeds",N,Supporting Actress,1937
"Anne Shirley",N,Supporting Actress,1937
"Claire Trevor",N,Supporting Actress,1937
"May Whitty",N,Supporting Actress,1937
"The Great Ziegfeld",Y,Picture,1936
"A Tale of Two Cities",N,Picture,1936
"Anthony Adverse",N,Picture,1936
"Dodsworth",N,Picture,1936
"Libeled Lady",N,Picture,1936
"Mr. Deeds Goes to Town",N,Picture,1936
"Romeo and Juliet",N,Picture,1936
"San Francisco",N,Picture,1936
"The Story of Louis Pasteur",N,Picture,1936
"Three Smart Girls",N,Picture,1936
"Paul Muni",Y,Actor,1936
"Gary Cooper",N,Actor,1936
"Walter Huston",N,Actor,1936
"William Powell",N,Actor,1936
"Spencer Tracy",N,Actor,1936
"Luise Rainer",Y,Actress,1936
"Irene Dunne",N,Actress,1936
"Gladys George",N,Actress,1936
"Carole Lombard",N,Actress,1936
"Norma Shearer",N,Actress,1936
"Walter Brennan",Y,Supporting Actor,1936
"Mischa Auer",N,Supporting Actor,1936
"Stuart Erwin",N,Supporting Actor,1936
"Basil Rathbone",N,Supporting Actor,1936
"Akim Tamiroff",N,Supporting Actor,1936
"Gale Sondergaard",Y,Supporting Actress,1936
"Beulah Bondi",N,Supporting Actress,1936
"Alice Brady",N,Supporting Actress,1936
"Bonita Granville",N,Supporting Actress,1936
"Maria Ouspenskaya",N,Supporting Actress,1936
"Mutiny on the Bounty",Y,Picture,1935
"A Midsummer Night's Dream",N,Picture,1935
"Alice Adams",N,Picture,1935
"Broadway Melody of 1936",N,Picture,1935
"Captain Blood",N,Picture,1935
"David Copperfield",N,Picture,1935
"Les Mis�rables",N,Picture,1935
"Naughty Marietta",N,Picture,1935
"Ruggles of Red Gap",N,Picture,1935
"The Informer",N,Picture,1935
"The Lives of a Bengal Lancer",N,Picture,1935
"Top Hat",N,Picture,1935
"Victor McLaglen",Y,Actor,1935
"Clark Gable",N,Actor,1935
"Charles Laughton",N,Actor,1935
"Franchot Tone",N,Actor,1935
"Bette Davis",Y,Actress,1935
"Elisabeth Bergner",N,Actress,1935
"Claudette Colbert",N,Actress,1935
"Katharine Hepburn",N,Actress,1935
"Miriam Hopkins",N,Actress,1935
"Merle Oberon",N,Actress,1935
"It Happened One Night",Y,Picture,1934
"Cleopatra",N,Picture,1934
"Flirtation Walk",N,Picture,1934
"Here Comes the Navy",N,Picture,1934
"Imitation of Life",N,Picture,1934
"One Night of Love",N,Picture,1934
"The Barretts of Wimpole Street",N,Picture,1934
"The Gay Divorcee",N,Picture,1934
"The House of Rothschild",N,Picture,1934
"The Thin Man",N,Picture,1934
"The White Parade",N,Picture,1934
"Viva Villa!",N,Picture,1934
"Clark Gable",Y,Actor,1934
"Frank Morgan",N,Actor,1934
"William Powell",N,Actor,1934
"Claudette Colbert",Y,Actress,1934
"Bette Davis",N,Actress,1934
"Grace Moore",N,Actress,1934
"Norma Shearer",N,Actress,1934
"Cavalcade",Y,Picture,1933
"42nd Street",N,Picture,1933
"A Farewell to Arms",N,Picture,1933
"I Am a Fugitive from a Chain Gang",N,Picture,1933
"Lady for a Day",N,Picture,1933
"Little Women",N,Picture,1933
"She Done Him Wrong",N,Picture,1933
"Smilin' Through",N,Picture,1933
"State Fair",N,Picture,1933
"The Private Life of Henry VIII",N,Picture,1933
"Charles Laughton",Y,Actor,1933
"Leslie Howard",N,Actor,1933
"Paul Muni",N,Actor,1933
"Katharine Hepburn",Y,Actress,1933
"May Robson",N,Actress,1933
"Diana Wynyard",N,Actress,1933
"Grand Hotel",Y,Picture,1932
"Arrowsmith",N,Picture,1932
"Bad Girl",N,Picture,1932
"Five Star Final",N,Picture,1932
"One Hour with You",N,Picture,1932
"Shanghai Express",N,Picture,1932
"The Champ",N,Picture,1932
"The Smiling Lieutenant",N,Picture,1932
"Wallace Beery",Y,Actor,1932
"Fredric March",Y,Actor,1932
"Alfred Lunt",N,Actor,1932
"Helen Hayes",Y,Actress,1932
"Marie Dressler",N,Actress,1932
"Lynn Fontanne",N,Actress,1932
"Cimarron",Y,Picture,1931
"East Lynne",N,Picture,1931
"Skippy",N,Picture,1931
"The Front Page",N,Picture,1931
"Trader Horn",N,Picture,1931
"Lionel Barrymore",Y,Actor,1931
"Jackie Cooper",N,Actor,1931
"Richard Dix",N,Actor,1931
"Fredric March",N,Actor,1931
"Adolphe Menjou",N,Actor,1931
"Marie Dressler",Y,Actress,1931
"Marlene Dietrich",N,Actress,1931
"Irene Dunne",N,Actress,1931
"Ann Harding",N,Actress,1931
"Norma Shearer",N,Actress,1931
"All Quiet on the Western Front",Y,Picture,1930
"Disraeli",N,Picture,1930
"The Big House",N,Picture,1930
"The Divorcee",N,Picture,1930
"The Love Parade",N,Picture,1930
"George Arliss",Y,Actor,1930
"George Arliss",N,Actor,1930
"Wallace Beery",N,Actor,1930
"Maurice Chevalier",N,Actor,1930
"Maurice Chevalier",N,Actor,1930
"Ronald Colman",N,Actor,1930
"Ronald Colman",N,Actor,1930
"Lawrence Tibbett",N,Actor,1930
"Norma Shearer",Y,Actress,1930
"Nancy Carroll",N,Actress,1930
"Ruth Chatterton",N,Actress,1930
"Greta Garbo",N,Actress,1930
"Greta Garbo",N,Actress,1930
"Norma Shearer",N,Actress,1930
"Gloria Swanson",N,Actress,1930
"The Broadway Melody",Y,Picture,1929
"Alibi",N,Picture,1929
"In Old Arizona",N,Picture,1929
"The Hollywood Revue of 1929",N,Picture,1929
"The Patriot",N,Picture,1929
"Warner Baxter",Y,Actor,1929
"George Bancroft",N,Actor,1929
"Chester Morris",N,Actor,1929
"Paul Muni",N,Actor,1929
"Lewis Stone",N,Actor,1929
"Mary Pickford",Y,Actress,1929
"Ruth Chatterton",N,Actress,1929
"Betty Compson",N,Actress,1929
"Jeanne Eagels",N,Actress,1929
"Corinne Griffith",N,Actress,1929
"Bessie Love",N,Actress,1929
"Wings",Y,Picture,1928
"Seventh Heaven",N,Picture,1928
"The Racket",N,Picture,1928
"Emil Jannings",Y,Actor,1928
"Richard Barthelmess",N,Actor,1928
"Richard Barthelmess",N,Actor,1928
"Janet Gaynor",Y,Actress,1928
"Louise Dresser",N,Actress,1928
"Janet Gaynor",N,Actress,1928
"Janet Gaynor",N,Actress,1928
"Gloria Swanson",N,Actress,1928